STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT08
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",10/5/2018,,,,,0.03,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",10/11/2018,,,,,0.07,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",11/22/2018,,,,,1.05,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",11/29/2018,,,,,3.37,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",11/30/2018,,,,,0.57,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",12/2/2018,,,,,0.13,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",12/5/2018,,,,,0.2,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",12/6/2018,,,,,0.39,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",12/16/2018,,,,,0,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",12/17/2018,,,,,0.05,,,,,,,,,,,,,,
US1CASB0009,"SANTA BARBARA 6.6 NW, CA US",12/25/2018,,,,,0.25,,,,,,,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/1/2018,,,,,0,,,,63,45,61,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/2/2018,,,,,0,,,,65,51,62,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/3/2018,,,,,0,,,,68,47,64,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/4/2018,,,,,0.26,,,,65,56,63,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/5/2018,,,,,0.02,,,,64,57,60,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/6/2018,,,,,0,,,,61,56,59,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/7/2018,,,,,0,,,,60,52,60,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/8/2018,,,,,0.11,,,,65,57,61,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/9/2018,,,,,1.44,,,,62,52,59,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/10/2018,,,,,0,,,,63,50,61,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/11/2018,,,,,0,,,,63,48,62,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/12/2018,,,,,0,,,,72,48,62,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/13/2018,,,,,0,,,,78,48,73,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/14/2018,,,,,0,,,,76,52,67,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/15/2018,,,,,0,,,,71,48,59,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/16/2018,,,,,0,,,,63,50,62,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/17/2018,,,,,0,,,,73,50,62,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/18/2018,,,,,0,,,,67,48,63,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/19/2018,,,,,0,,,,63,52,62,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/20/2018,,,,,0,,,,63,49,61,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/21/2018,,,,,0,,,,62,42,59,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/22/2018,,,,,0,,,,63,43,63,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/23/2018,,,,,0,,,,71,45,70,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/24/2018,,,,,0,,,,71,45,65,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/25/2018,,,,,0,,,,66,47,61,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/26/2018,,,,,0,,,,62,46,58,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/27/2018,,,,,0,,,,69,44,67,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/28/2018,,,,,0,,,,79,47,72,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/29/2018,,,,,0,,,,82,50,71,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/30/2018,,,,,0,,,,79,55,75,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",1/31/2018,,,,,0,,,,77,48,66,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/1/2018,,,,,0,,,,74,47,64,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/2/2018,,,,,0,,,,68,49,67,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/3/2018,,,,,0,,,,77,49,72,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/4/2018,,,,,0,,,,80,49,65,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/5/2018,,,,,0,,,,67,50,55,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/6/2018,,,,,0,,,,61,52,59,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/7/2018,,,,,0,,,,75,47,65,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/8/2018,,,,,0,,,,76,47,75,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/9/2018,,,,,0,,,,75,48,59,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/10/2018,,,,,0,,,,62,55,59,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/11/2018,,,,,0,,,,69,47,65,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/12/2018,,,,,0,,,,66,47,61,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/13/2018,,,,,0.01,,,,62,48,59,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/14/2018,,,,,0.01,,,,65,49,63,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/15/2018,,,,,0,,,,68,47,67,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/16/2018,,,,,0,,,,71,46,61,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/17/2018,,,,,0,,,,67,46,63,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/18/2018,,,,,0,,,,64,46,63,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/19/2018,,,,,0,,,,63,45,56,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/20/2018,,,,,0,,,,58,41,56,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/21/2018,,,,,0,,,,61,44,57,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/22/2018,,,,,0,,,,62,40,59,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/23/2018,,,,,0,,,,62,45,59,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/24/2018,,,,,0,,,,61,38,58,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/25/2018,,,,,0,,,,64,43,62,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/26/2018,,,,,0,,,,63,42,56,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/27/2018,,,,,0.01,,,,57,39,56,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",2/28/2018,,,,,0,,,,59,40,58,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/1/2018,,,,,0,,,,59,49,56,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/2/2018,,,,,0.37,,,,61,51,60,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/3/2018,,,,,0.14,,,,61,49,57,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/4/2018,,,,,0,,,,62,43,62,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/5/2018,,,,,0,,,,70,41,67,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/6/2018,,,,,0,,,,74,44,69,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/7/2018,,,,,0,,,,70,48,66,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/8/2018,,,,,0,,,,69,47,63,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/9/2018,,,,,0,,,,64,52,58,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/10/2018,,,,,0.4,,,,60,56,57,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/11/2018,,,,,0.63,,,,64,56,64,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/12/2018,,,,,0,,,,66,56,62,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/13/2018,,,,,0.43,,,,65,57,60,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/14/2018,,,,,0.3,,,,64,56,60,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/15/2018,,,,,0.49,,,,65,48,65,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/16/2018,,,,,0.02,,,,66,45,55,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/17/2018,,,,,0.12,,,,61,44,58,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/18/2018,,,,,0,,,,61,42,57,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/19/2018,,,,,0,,,,67,43,65,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/20/2018,,,,,0.05,,,,66,51,55,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/21/2018,,,,,2.01,,,,59,54,57,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/22/2018,,,,,1.74,,,,59,52,54,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/23/2018,,,,,0.38,,,,64,48,63,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/24/2018,,,,,0,,,,67,45,64,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/25/2018,,,,,0,,,,68,45,66,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/26/2018,,,,,0,,,,70,53,69,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/27/2018,,,,,0,,,,71,49,69,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/28/2018,,,,,0,,,,72,49,72,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/29/2018,,,,,0,,,,72,50,59,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/30/2018,,,,,0,,,,62,50,61,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",3/31/2018,,,,,0,,,,62,51,60,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/1/2018,,,,,0,,,,62,53,58,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/2/2018,,,,,0.01,,,,59,53,58,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/3/2018,,,,,0,,,,65,48,64,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/4/2018,,,,,0,,,,65,54,59,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/5/2018,,,,,0,,,,63,53,62,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/6/2018,,,,,0,,,,72,52,72,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/7/2018,,,,,0,,,,78,58,77,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/8/2018,,,,,0,,,,78,55,67,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/9/2018,,,,,0,,,,92,53,87,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/10/2018,,,,,0,,,,89,54,70,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/11/2018,,,,,0,,,,72,54,69,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/12/2018,,,,,0,,,,71,53,70,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/13/2018,,,,,0,,,,77,55,74,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/14/2018,,,,,0,,,,77,53,73,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/15/2018,,,,,0,,,,80,52,63,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/16/2018,,,,,0,,,,66,49,61,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/17/2018,,,,,0,,,,71,46,71,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/18/2018,,,,,0,,,,71,48,68,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/19/2018,,,,,0.04,,,,70,49,69,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/20/2018,,,,,0,,,,69,50,64,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/21/2018,,,,,0,,,,79,50,78,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/22/2018,,,,,0,,,,79,54,69,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/23/2018,,,,,0,,,,71,55,65,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/24/2018,,,,,0,,,,67,52,63,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/25/2018,,,,,0,,,,64,51,63,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/26/2018,,,,,0,,,,64,52,62,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/27/2018,,,,,0,,,,66,52,64,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/28/2018,,,,,0,,,,78,51,76,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/29/2018,,,,,0,,,,78,51,67,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",4/30/2018,,,,,0,,,,69,52,65,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/1/2018,,,,,0.16,,,,67,50,56,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/2/2018,,,,,0.05,,,,64,51,62,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/3/2018,,,,,0,,,,71,49,71,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/4/2018,,,,,0,,,,80,54,77,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/5/2018,,,,,0,,,,77,55,71,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/6/2018,,,,,0,,,,72,53,68,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/7/2018,,,,,0,,,,69,52,63,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/8/2018,,,,,0,,,,65,52,64,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/9/2018,,,,,0,,,,70,55,65,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/10/2018,,,,,0,,,,69,54,68,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/11/2018,,,,,0,,,,68,54,60,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/12/2018,,,,,0,,,,70,56,67,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/13/2018,,,,,0,,,,69,54,69,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/14/2018,,,,,0,,,,70,52,67,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/15/2018,,,,,0,,,,69,54,68,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/16/2018,,,,,0,,,,74,50,73,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/17/2018,,,,,0,,,,74,52,70,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/18/2018,,,,,0,,,,70,55,63,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/19/2018,,,,,0,,,,67,54,64,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/20/2018,,,,,0,,,,69,53,68,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/21/2018,,,,,0,,,,69,55,65,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/22/2018,,,,,0,,,,69,55,67,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/23/2018,,,,,0,,,,69,55,65,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/24/2018,,,,,0,,,,66,56,63,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/25/2018,,,,,0,,,,69,55,68,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/26/2018,,,,,0,,,,76,53,74,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/27/2018,,,,,0,,,,76,53,70,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/28/2018,,,,,0,,,,71,54,67,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/29/2018,,,,,0,,,,69,57,67,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/30/2018,,,,,0.03,,,,68,56,63,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",5/31/2018,,,,,0,,,,70,57,70,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/1/2018,,,,,0,,,,72,58,70,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/2/2018,,,,,0,,,,74,53,70,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/3/2018,,,,,0,,,,74,55,74,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/4/2018,,,,,0,,,,76,56,68,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/5/2018,,,,,0,,,,73,57,69,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/6/2018,,,,,0,,,,69,59,69,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/7/2018,,,,,0,,,,70,57,70,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/8/2018,,,,,0,,,,72,54,71,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/9/2018,,,,,0,,,,73,56,71,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/10/2018,,,,,0,,,,73,57,72,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/11/2018,,,,,0,,,,74,57,74,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/12/2018,,,,,0,,,,74,57,74,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/13/2018,,,,,0,,,,75,56,70,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/14/2018,,,,,0,,,,76,57,76,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/15/2018,,,,,0,,,,76,58,71,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/16/2018,,,,,0,,,,72,59,65,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/17/2018,,,,,0.08,,,,69,58,65,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/18/2018,,,,,0,,,,71,58,71,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/19/2018,,,,,0,,,,72,52,71,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/20/2018,,,,,0,,,,72,59,69,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/21/2018,,,,,0,,,,71,57,70,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/22/2018,,,,,0,,,,72,60,67,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/23/2018,,,,,0,,,,69,59,68,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/24/2018,,,,,0.01,,,,69,60,68,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/25/2018,,,,,0,,,,73,62,73,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/26/2018,,,,,0,,,,74,61,74,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/27/2018,,,,,0,,,,74,61,73,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/28/2018,,,,,0,,,,74,61,73,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/29/2018,,,,,0,,,,74,58,69,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",6/30/2018,,,,,0,,,,72,59,72,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/1/2018,,,,,0,,,,73,60,72,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/2/2018,,,,,0,,,,77,61,71,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/3/2018,,,,,0.01,,,,72,61,71,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/4/2018,,,,,0,,,,74,60,73,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/5/2018,,,,,0,,,,80,62,80,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/6/2018,,,,,0,,,,84,54,80,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/7/2018,,,,,0,,,,103,68,75,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/8/2018,,,,,0,,,,103,68,81,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/9/2018,,,,,0,,,,91,66,85,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/10/2018,,,,,0,,,,91,66,76,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/11/2018,,,,,0,,,,81,68,81,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/12/2018,,,,,0,,,,83,65,78,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/13/2018,,,,,0,,,,82,64,78,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/14/2018,,,,,0,,,,81,64,81,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/15/2018,,,,,0,,,,82,65,79,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/16/2018,,,,,0,,,,81,64,77,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/17/2018,,,,,0,,,,79,64,75,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/18/2018,,,,,0,,,,76,64,73,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/19/2018,,,,,0,,,,79,63,78,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/20/2018,,,,,0,,,,79,64,77,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/21/2018,,,,,0,,,,79,67,77,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/22/2018,,,,,0,,,,79,64,77,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/23/2018,,,,,0,,,,83,65,78,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/24/2018,,,,,0,,,,83,67,77,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/25/2018,,,,,0,,,,79,66,77,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/26/2018,,,,,0,,,,81,64,73,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/27/2018,,,,,0,,,,74,67,72,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/28/2018,,,,,0,,,,75,64,73,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/29/2018,,,,,0,,,,81,64,79,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/30/2018,,,,,0,,,,81,63,75,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",7/31/2018,,,,,0,,,,87,62,79,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",8/1/2018,,,,,0,,,,87,62,79,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",8/2/2018,,,,,0,,,,82,63,75,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",8/3/2018,,,,,0,,,,79,62,77,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",8/4/2018,,,,,0,,,,80,61,76,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",8/5/2018,,,,,0,,,,80,59,73,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",8/6/2018,,,,,0,,,,77,62,75,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",8/7/2018,,,,,0,,,,80,63,75,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",8/8/2018,,,,,0,,,,83,63,83,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",8/9/2018,,,,,0,,,,85,67,85,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",8/10/2018,,,,,0,,,,86,64,85,,,,,,,,
USC00047902,"SANTA BARBARA, CA US",8/11/2018,,,,,0,,,,85,66,80,,,,,,,,
